"REPORT_PERIOD","S_INFO_WINDCODE","S_FA_BPS"
"20000630","600237.SH",4.25
"20000630","600226.SH",3.81
"20000630","600791.SH",1.62
"20000630","600826.SH",2.71
"20000630","600171.SH",2.7
"20000630","600098.SH",2.7
"20000630","600108.SH",3.55
"20000630","600062.SH",2.48
"20000630","600736.SH",2.4
"20000630","600622.SH",2.43
"20000630","600614.SH",1.403
"20000630","000008.SZ",1.518
"20000630","600605.SH",1.5
"20000630","000001.SZ",1.984
"20000630","000034.SZ",0.24
"20000630","600641.SH",2.41
"20000630","601607.SH",3.15
"20000630","000028.SZ",2.2
"20000630","600631.SH",3.42
"20000630","000022.SZ",2.851
"20000630","000016.SZ",6.57
"20000630","600500.SH",3.93
"20000630","600889.SH",2.73
"20000630","600882.SH",2.84
"20000630","600263.SH",1.9
"20000630","600330.SH",1.208
"20000630","600876.SH",2.17
"20000630","600313.SH",1.482
"20000630","600298.SH",1.294
"20000630","600873.SH",2.371
"20000630","000519.SZ",1.58
"20000630","000558.SZ",1.4
"20000630","000597.SZ",2.98
"20000630","600135.SH",3.34
"20000630","000625.SZ",1.96
"20000630","000544.SZ",1.08
"20000630","000592.SZ",0.53
"20000630","600785.SH",3.08
"20000630","000538.SZ",2.16
"20000630","000584.SZ",1.49
"20000630","000617.SZ",1.651
"20000630","000089.SZ",3.183
"20000630","600657.SH",2.77
"20000630","600703.SH",0.91
"20000630","000423.SZ",2.39
"20000630","600649.SH",2.69
"20000630","600696.SH",1.372
"20000630","000068.SZ",1.85
"20000630","000418.SZ",5.56
"20000630","600688.SH",1.86
"20000630","000050.SZ",3.02
"20000630","000413.SZ",1.19
"20000630","000513.SZ",2.98
"20000630","600681.SH",1.87
"20000630","000042.SZ",4.84
"20000630","000402.SZ",1.44
"20000630","000498.SZ",1.85
"20000630","600671.SH",2.036
"20000630","600705.SH",2.33
"20000630","000301.SZ",2.484
"20000630","000829.SZ",2.05
"20000630","000060.SZ",2.62
"20000630","000717.SZ",4.97
"20000630","000690.SZ",3.14
"20000630","600833.SH",-1.911
"20000630","000033.SZ",1.575
"20000630","000529.SZ",4.03
"20000630","600784.SH",2.588
"20000630","000504.SZ",0.456
"20000630","600896.SH",2.46
"20000630","600766.SH",2.4
"20000630","000011.SZ",0.328
"20000630","000404.SZ",2.01
"20000630","600607.SH",6.52
"20000630","000069.SZ",1.86
"20000630","000562.SZ",1.224
"20000630","000793.SZ",3.25
"20000630","000553.SZ",3.381
"20000630","600665.SH",1.85
"20000630","000656.SZ",1.43
"20000630","000532.SZ",2.41
"20000630","000609.SZ",3.18
"20000630","000573.SZ",3.13
"20000630","000639.SZ",1.057
"20000630","000525.SZ",1.59
"20000630","000569.SZ",1.166
"20000630","000602.SZ",1.19
"20000630","000632.SZ",3.25
"20000630","600085.SH",3.41
"20000630","600198.SH",4.033
"20000630","000150.SZ",1.214
"20000630","600792.SH",2.13
"20000630","600156.SH",2.37
"20000630","600127.SH",2.035
"20000630","600748.SH",1.79
"20000630","000968.SZ",2.82
"20000630","600723.SH",2.5
"20000630","000939.SZ",3.04
"20000630","000516.SZ",2
"20000630","000893.SZ",2.4
"20000630","000046.SZ",2.76
"20000630","000688.SZ",2.26
"20000630","600684.SH",3.62
"20000630","000628.SZ",2.76
"20000630","000023.SZ",1.92
"20000630","000650.SZ",2.66
"20000630","600640.SH",3.34
"20000630","000588.SZ",-7.074
"20000630","000761.SZ",2.899
"20000630","600602.SH",3.41
"20000630","000605.SZ",1.186
"20000630","000405.SZ",1.96
"20000630","000752.SZ",1.82
"20000630","000726.SZ",2.39
"20000630","000555.SZ",1.13
"20000630","600880.SH",1.6
"20000630","600609.SH",1.949
"20000630","000881.SZ",4.53
"20000630","000552.SZ",1.163
"20000630","600232.SH",2.346
"20000630","600106.SH",2.74
"20000630","000003.SZ",0.09
"20000630","000839.SZ",2.73
"20000630","000750.SZ",6.36
"20000630","600001.SH",3.84
"20000630","000837.SZ",2.71
"20000630","000973.SZ",3.04
"20000630","000776.SZ",2.27
"20000630","001896.SZ",2.16
"20000630","000948.SZ",3.38
"20000630","000802.SZ",3.23
"20000630","000055.SZ",3.46
"20000630","000736.SZ",2.21
"20000630","600055.SH",2.97
"20000630","000938.SZ",3.13
"20000630","000982.SZ",4.393
"20000630","600069.SH",1.74
"20000630","000611.SZ",1.78
"20000630","000912.SZ",3.16
"20000630","000836.SZ",4.74
"20000630","000506.SZ",1.01
"20000630","600711.SH",1.096
"20000630","600016.SH",1.26
"20000630","600128.SH",3.95
"20000630","000820.SZ",2.239
"20000630","600293.SH",1.74
"20000630","000045.SZ",1.7
"20000630","600637.SH",2
"20000630","600751.SH",1.8
"20000630","600846.SH",1.494
"20000630","000020.SZ",1.09
"20000630","600830.SH",2.204
"20000630","600623.SH",2.11
"20000630","600738.SH",2.93
"20000630","600803.SH",2.71
"20000630","600730.SH",1.362
"20000630","000526.SZ",1.585
"20000630","600773.SH",2.54
"20000630","600707.SH",3.728
"20000630","600881.SH",3.01
"20000630","000502.SZ",1.81
"20000630","600089.SH",3.26
"20000630","600218.SH",2.53
"20000630","600084.SH",3.32
"20000630","600195.SH",2.12
"20000630","600176.SH",2.27
"20000630","600297.SH",1.72
"20000630","600283.SH",1.643
"20000630","600162.SH",2.7
"20000630","600376.SH",3.063
"20000630","600141.SH",2.46
"20000630","600269.SH",7.33
"20000630","600729.SH",1.99
"20000630","600687.SH",2.64
"20000630","600887.SH",5.38
"20000630","600861.SH",3.8
"20000630","600192.SH",3.037
"20000630","000756.SZ",2.19
"20000630","600150.SH",2.02
"20000630","000600.SZ",2.003
"20000630","000783.SZ",1.71
"20000630","000721.SZ",2.25
"20000630","000976.SZ",5.1
"20000630","600116.SH",3.51
"20000630","000548.SZ",1.69
"20000630","000999.SZ",3.58
"20000630","000913.SZ",3.02
"20000630","000689.SZ",0.94
"20000630","600099.SH",2.75
"20000630","600288.SH",2.163
"20000630","000660.SZ",2.74
"20000630","000890.SZ",4.03
"20000630","600088.SH",3.93
"20000630","000623.SZ",3.69
"20000630","000807.SZ",2.52
"20000630","600228.SH",2.49
"20000630","600061.SH",2.774
"20000630","000099.SZ",1.82
"20000630","600765.SH",1.61
"20000630","600863.SH",3.56
"20000630","600652.SH",2.413
"20000630","000407.SZ",2.3
"20000630","600709.SH",4.33
"20000630","600701.SH",2.397
"20000630","600718.SH",4.34
"20000630","T00018.SH",2.17
"20000630","600708.SH",0.97
"20000630","600699.SH",1.93
"20000630","600716.SH",1.65
"20000630","600725.SH",2.95
"20000630","600706.SH",1.22
"20000630","600358.SH",1.53
"20000630","600698.SH",3.08
"20000630","600713.SH",2.36
"20000630","600724.SH",1.37
"20000630","600697.SH",3.49
"20000630","600704.SH",3.19
"20000630","600815.SH",2.92
"20000630","600695.SH",1.437
"20000630","600722.SH",2.11
"20000630","600693.SH",3.02
"20000630","600702.SH",4.06
"20000630","600220.SH",3.62
"20000630","600831.SH",0.86
"20000630","600694.SH",3.57
"20000630","600555.SH",1.91
"20000630","600660.SH",1.82
"20000630","600808.SH",1.85
"20000630","600628.SH",2.78
"20000630","600780.SH",2.17
"20000630","600257.SH",5.48
"20000630","600764.SH",2.29
"20000630","600277.SH",1.87
"20000630","600291.SH",1.66
"20000630","600266.SH",4.019
"20000630","600763.SH",1.36
"20000630","600265.SH",1.698
"20000630","600276.SH",2.003
"20000630","600289.SH",7.886
"20000630","600739.SH",2.87
"20000630","600731.SH",2.228
